"Region"	"RegionUID"	"OperatingUnit"	"OperatingUnitUID"	"CountryName"	"SNU1"	"SNU1Uid"	"PSNU"	"PSNUuid"	"SNUPrioritization"	"typeMilitary"	"MechanismUID"	"PrimePartner"	"FundingAgency"	"MechanismID"	"ImplementingMechanismName"	"dataElementUID"	"indicator"	"numeratorDenom"	"indicatorType"	"disaggregate"	"standardizedDisaggregate"	"categoryOptionComboUID"	"categoryOptionComboName"	"AgeAsEntered"	"AgeFine"	"AgeSemiFine"	"AgeCoarse"	"Sex"	"resultStatus"	"otherDisaggregate"	"coarseDisaggregate"	"modality"	"isMCAD"	"FY2017_TARGETS"	"FY2017Q1"	"FY2017Q2"	"FY2017Q3"	"FY2017Q4"	"FY2017APR"	"FY2018_TARGETS"	"FY2018Q1"	"FY2018Q2"	"FY2019_TARGETS"
"The Known World"	"rsgfCo9eMmd"	"Westeros"	"ZTxJsumQ8ay"	"Westeros"	"The North"	"Nwedavx1iKP"	"The North"	"Nwedavx1iKP"	"5 - Centrally Supported"	NA	NA	"Stark"	"HHS/CDC"	80001	"Stark"	"rt42RHCjuoD"	"LAB_PTCQI_CD4_CQI"	"N"	"Not Applicable"	"Total Numerator"	"Total Numerator"	"HllvX50cXC0"	"default"	NA	NA	NA	NA	NA	NA	NA	NA	NA	"N"	NA	NA	NA	NA	10	10	NA	NA	NA	""
"The Known World"	"rsgfCo9eMmd"	"Westeros"	"ZTxJsumQ8ay"	"Westeros"	"The North"	"Nwedavx1iKP"	"The North"	"Nwedavx1iKP"	"5 - Centrally Supported"	NA	NA	"Stark"	"HHS/CDC"	80001	"Stark"	"Y2TfvpJTxgL"	"LAB_PTCQI_CD4_PT"	"N"	"Not Applicable"	"Total Numerator"	"Total Numerator"	"HllvX50cXC0"	"default"	NA	NA	NA	NA	NA	NA	NA	NA	NA	"N"	NA	NA	NA	NA	10	10	NA	NA	NA	""
"The Known World"	"rsgfCo9eMmd"	"Westeros"	"ZTxJsumQ8ay"	"Westeros"	"The North"	"Nwedavx1iKP"	"The North"	"Nwedavx1iKP"	"5 - Centrally Supported"	NA	NA	"Stark"	"HHS/CDC"	80001	"Stark"	"MuZuLaJykIm"	"LAB_PTCQI_HIV_SerologyDiagnostic_POCT_PT"	"N"	"Not Applicable"	"Total Numerator"	"Total Numerator"	"HllvX50cXC0"	"default"	NA	NA	NA	NA	NA	NA	NA	NA	NA	"N"	NA	NA	NA	NA	10	10	NA	NA	NA	""
"The Known World"	"rsgfCo9eMmd"	"Westeros"	"ZTxJsumQ8ay"	"Westeros"	"The North"	"Nwedavx1iKP"	"The North"	"Nwedavx1iKP"	"5 - Centrally Supported"	NA	NA	"Stark"	"HHS/CDC"	80001	"Stark"	"e1zWNUE6cx7"	"LAB_PTCQI_Other_Testing_CQI"	"N"	"Not Applicable"	"Total Numerator"	"Total Numerator"	"HllvX50cXC0"	"default"	NA	NA	NA	NA	NA	NA	NA	NA	NA	"N"	NA	NA	NA	NA	10	10	NA	NA	NA	""
"The Known World"	"rsgfCo9eMmd"	"Westeros"	"ZTxJsumQ8ay"	"Westeros"	"The North"	"Nwedavx1iKP"	"The North"	"Nwedavx1iKP"	"5 - Centrally Supported"	NA	NA	"Stark"	"HHS/CDC"	80001	"Stark"	"JDHfzGRytfH"	"LAB_PTCQI_Other_Testing_PT"	"N"	"Not Applicable"	"Total Numerator"	"Total Numerator"	"HllvX50cXC0"	"default"	NA	NA	NA	NA	NA	NA	NA	NA	NA	"N"	NA	NA	NA	NA	10	10	NA	NA	NA	""
"The Known World"	"rsgfCo9eMmd"	"Westeros"	"ZTxJsumQ8ay"	"Westeros"	"The North"	"Nwedavx1iKP"	"The North"	"Nwedavx1iKP"	"5 - Centrally Supported"	NA	NA	"Stark"	"HHS/CDC"	80001	"Stark"	"sqEj0fVWEpT"	"LAB_PTCQI_TB_AFB_CQI"	"N"	"Not Applicable"	"Total Numerator"	"Total Numerator"	"HllvX50cXC0"	"default"	NA	NA	NA	NA	NA	NA	NA	NA	NA	"N"	NA	NA	NA	NA	10	10	NA	NA	NA	""
"The Known World"	"rsgfCo9eMmd"	"Westeros"	"ZTxJsumQ8ay"	"Westeros"	"The North"	"Nwedavx1iKP"	"The North"	"Nwedavx1iKP"	"5 - Centrally Supported"	NA	NA	"Stark"	"HHS/CDC"	80001	"Stark"	"v9hTOuIbV9B"	"LAB_PTCQI_TB_AFB_PT"	"N"	"Not Applicable"	"Total Numerator"	"Total Numerator"	"HllvX50cXC0"	"default"	NA	NA	NA	NA	NA	NA	NA	NA	NA	"N"	NA	NA	NA	NA	10	10	NA	NA	NA	""
"The Known World"	"rsgfCo9eMmd"	"Westeros"	"ZTxJsumQ8ay"	"Westeros"	"The Riverlands"	"H4JVoH5GKxt"	"The Riverlands"	"H4JVoH5GKxt"	"4 - Sustained"	NA	NA	"Fire"	"USAID"	80003	"Fire"	"MnLMpQdIWQ3"	"HRH_CURR"	"N"	"DSD"	"Total Numerator"	"Total Numerator"	"HllvX50cXC0"	"default"	NA	NA	NA	NA	NA	NA	NA	NA	NA	"N"	NA	NA	NA	NA	30	30	NA	NA	NA	""
"The Known World"	"rsgfCo9eMmd"	"Westeros"	"ZTxJsumQ8ay"	"Westeros"	"The Riverlands"	"H4JVoH5GKxt"	"The Riverlands"	"H4JVoH5GKxt"	"4 - Sustained"	NA	NA	"Fire"	"USAID"	80003	"Fire"	"s8n8lF9knTC"	"HRH_CURR_LayCadre"	"N"	"DSD"	"Total Numerator"	"Total Numerator"	"HllvX50cXC0"	"default"	NA	NA	NA	NA	NA	NA	NA	NA	NA	"N"	NA	NA	NA	NA	30	30	NA	NA	NA	""
"The Known World"	"rsgfCo9eMmd"	"Westeros"	"ZTxJsumQ8ay"	"Westeros"	"The Riverlands"	"H4JVoH5GKxt"	"The Riverlands"	"H4JVoH5GKxt"	"4 - Sustained"	NA	NA	"Fire"	"USAID"	80003	"Fire"	"GNo9UtaeaYK"	"HRH_CURR_ManagementCadre"	"N"	"DSD"	"Total Numerator"	"Total Numerator"	"HllvX50cXC0"	"default"	NA	NA	NA	NA	NA	NA	NA	NA	NA	"N"	NA	NA	NA	NA	10	10	NA	NA	NA	""
