"Region"	"RegionUID"	"OperatingUnit"	"OperatingUnitUID"	"CountryName"	"SNU1"	"SNU1Uid"	"PSNU"	"PSNUuid"	"SNUPrioritization"	"typeMilitary"	"MechanismUID"	"PrimePartner"	"FundingAgency"	"MechanismID"	"ImplementingMechanismName"	"dataElementUID"	"indicator"	"numeratorDenom"	"indicatorType"	"disaggregate"	"standardizedDisaggregate"	"categoryOptionComboUID"	"categoryOptionComboName"	"AgeAsEntered"	"AgeFine"	"AgeSemiFine"	"AgeCoarse"	"Sex"	"resultStatus"	"otherDisaggregate"	"coarseDisaggregate"	"modality"	"isMCAD"	"FY2017_TARGETS"	"FY2017Q1"	"FY2017Q2"	"FY2017Q3"	"FY2017Q4"	"FY2017APR"	"FY2018_TARGETS"	"FY2018Q1"	"FY2018Q2"
"The Known World"	"rsgfCo9eMmd"	"Westeros"	"ZTxJsumQ8ay"	"Westeros"	"The North"	"Nwedavx1iKP"	"The North"	"Nwedavx1iKP"	"5 - Centrally Supported"	NA	NA	"Stark"	"HHS/CDC"	80001	"Stark"	"mJONpM4NS83"	"LAB_PTCQI"	"N"	"Not Applicable"	"Lab/CQI"	"Lab/CQI"	"BHOcyZmY4KV"	"Lab Testing - CD4, LAB_CQI - Audited and fully accredited"	NA	NA	NA	NA	"N/A"	NA	"Lab Testing - CD4 LAB_CQI - Audited and fully accredited"	NA	NA	"N"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"The Known World"	"rsgfCo9eMmd"	"Westeros"	"ZTxJsumQ8ay"	"Westeros"	"The North"	"Nwedavx1iKP"	"The North"	"Nwedavx1iKP"	"5 - Centrally Supported"	NA	NA	"Stark"	"HHS/CDC"	80001	"Stark"	"mJONpM4NS83"	"LAB_PTCQI"	"N"	"Not Applicable"	"Lab/CQI"	"Lab/CQI"	"PeDDjUaHEJS"	"Lab Testing - Other Testing, LAB_CQI - Audited and fully accredited"	NA	NA	NA	NA	"N/A"	NA	"Lab Testing - Other Testing LAB_CQI - Audited and fully accredited"	NA	NA	"N"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"The Known World"	"rsgfCo9eMmd"	"Westeros"	"ZTxJsumQ8ay"	"Westeros"	"The North"	"Nwedavx1iKP"	"The North"	"Nwedavx1iKP"	"5 - Centrally Supported"	NA	NA	"Stark"	"HHS/CDC"	80001	"Stark"	"mJONpM4NS83"	"LAB_PTCQI"	"N"	"Not Applicable"	"Lab/CQI"	"Lab/CQI"	"tWUeCanlxoS"	"Lab Testing - Other Testing, LAB_CQI - Participate but not audited"	NA	NA	NA	NA	"N/A"	NA	"Lab Testing - Other Testing LAB_CQI - Participate but not audited"	NA	NA	"N"	NA	NA	NA	NA	10	10	NA	NA	NA
"The Known World"	"rsgfCo9eMmd"	"Westeros"	"ZTxJsumQ8ay"	"Westeros"	"The North"	"Nwedavx1iKP"	"The North"	"Nwedavx1iKP"	"5 - Centrally Supported"	NA	NA	"Stark"	"HHS/CDC"	80001	"Stark"	"mJONpM4NS83"	"LAB_PTCQI"	"N"	"Not Applicable"	"Lab/CQI"	"Lab/CQI"	"Xgy1dZs6LpY"	"Lab Testing - CD4, LAB_CQI - Audited but not accredited"	NA	NA	NA	NA	"N/A"	NA	"Lab Testing - CD4 LAB_CQI - Audited but not accredited"	NA	NA	"N"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"The Known World"	"rsgfCo9eMmd"	"Westeros"	"ZTxJsumQ8ay"	"Westeros"	"The North"	"Nwedavx1iKP"	"The North"	"Nwedavx1iKP"	"5 - Centrally Supported"	NA	NA	"Stark"	"HHS/CDC"	80001	"Stark"	"ifqUg8hufqa"	"LAB_PTCQI"	"N"	"Not Applicable"	"Lab/PT"	"Lab/PT"	"hjobBGwqCQp"	"Lab Testing - Other Testing, PT - Participate but did not pass last round"	NA	NA	NA	NA	"N/A"	NA	"Lab Testing - Other Testing PT - Participate but did not pass last round"	NA	NA	"N"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"The Known World"	"rsgfCo9eMmd"	"Westeros"	"ZTxJsumQ8ay"	"Westeros"	"The North"	"Nwedavx1iKP"	"The North"	"Nwedavx1iKP"	"5 - Centrally Supported"	NA	NA	"Stark"	"HHS/CDC"	80001	"Stark"	"ifqUg8hufqa"	"LAB_PTCQI"	"N"	"Not Applicable"	"Lab/PT"	"Lab/PT"	"OZ7ZpzpRDOG"	"Lab Testing - TB AFB, PT - Testing with no participation"	NA	NA	NA	NA	"N/A"	NA	"Lab Testing - TB AFB PT - Testing with no participation"	NA	NA	"N"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"The Known World"	"rsgfCo9eMmd"	"Westeros"	"ZTxJsumQ8ay"	"Westeros"	"The North"	"Nwedavx1iKP"	"The North"	"Nwedavx1iKP"	"5 - Centrally Supported"	NA	NA	"Stark"	"HHS/CDC"	80001	"Stark"	"ifqUg8hufqa"	"LAB_PTCQI"	"N"	"Not Applicable"	"Lab/PT"	"Lab/PT"	"bME9lhrNZw2"	"Lab Testing - TB AFB, PT - Participate but did not pass last round"	NA	NA	NA	NA	"N/A"	NA	"Lab Testing - TB AFB PT - Participate but did not pass last round"	NA	NA	"N"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"The Known World"	"rsgfCo9eMmd"	"Westeros"	"ZTxJsumQ8ay"	"Westeros"	"The North"	"Nwedavx1iKP"	"The North"	"Nwedavx1iKP"	"5 - Centrally Supported"	NA	NA	"Stark"	"HHS/CDC"	80001	"Stark"	"bHk1JDK2258"	"LAB_PTCQI"	"N"	"Not Applicable"	"POCT/PT"	"POCT/PT"	"OiQAT4scJab"	"Lab Testing - HIV Serology/Diagnostic, PT - Participate but did not pass last round"	NA	NA	NA	NA	"N/A"	NA	"Lab Testing - HIV Serology/Diagnostic PT - Participate but did not pass last round"	NA	NA	"N"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"The Known World"	"rsgfCo9eMmd"	"Westeros"	"ZTxJsumQ8ay"	"Westeros"	"The North"	"Nwedavx1iKP"	"The North"	"Nwedavx1iKP"	"5 - Centrally Supported"	NA	NA	"Stark"	"HHS/CDC"	80001	"Stark"	"mJONpM4NS83"	"LAB_PTCQI"	"N"	"Not Applicable"	"Lab/CQI"	"Lab/CQI"	"on7sWkx3GcK"	"Lab Testing - Other Testing, LAB_CQI - Testing with no participation"	NA	NA	NA	NA	"N/A"	NA	"Lab Testing - Other Testing LAB_CQI - Testing with no participation"	NA	NA	"N"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"The Known World"	"rsgfCo9eMmd"	"Westeros"	"ZTxJsumQ8ay"	"Westeros"	"The North"	"Nwedavx1iKP"	"The North"	"Nwedavx1iKP"	"5 - Centrally Supported"	NA	NA	"Stark"	"HHS/CDC"	80001	"Stark"	"mJONpM4NS83"	"LAB_PTCQI"	"N"	"Not Applicable"	"Lab/CQI"	"Lab/CQI"	"WBmklDDpMK9"	"Lab Testing - TB AFB, LAB_CQI - Testing with no participation"	NA	NA	NA	NA	"N/A"	NA	"Lab Testing - TB AFB LAB_CQI - Testing with no participation"	NA	NA	"N"	NA	NA	NA	NA	NA	NA	NA	NA	NA
